,Unnamed: 0,Szene,Cliplänge in Sekunden,Anzahl Sakkaden,Gesamt Dauer Sakkaden,Anzahl Lost Tracks,Dauer Lost Tracks,Anzahl Fixationen,Gesamt Dauer Fixationen,Name
73,5,98 - 103,5.0,7.0,141.0,0.0,0.0,9.0,4.859,Janni
74,6,98 - 103,5.0,13.0,409.0,0.0,0.0,10.0,4.591,Lena
75,7,98 - 103,5.0,2.0,62.0,0.0,0.0,3.0,4.938,Merle
76,8,98 - 103,5.0,11.0,409.0,17.0,685.0,10.0,3.906,Neele
77,9,98 - 103,5.0,0.0,0.0,24.0,6391.0,3.0,-1.391,Nikla
78,10,98 - 103,5.0,6.0,266.0,0.0,0.0,6.0,4.734,Nil
79,11,98 - 103,5.0,2.0,62.0,0.0,0.0,2.0,4.938,Ole
80,12,98 - 103,5.0,35.0,1097.0,0.0,0.0,25.0,3.903,Pia
81,13,98 - 103,5.0,22.0,690.0,0.0,0.0,15.0,4.3100000000000005,Robin
82,14,98 - 103,5.0,10.0,310.0,0.0,0.0,9.0,4.69,Timon
83,15,98 - 103,5.0,19.0,720.0,0.0,0.0,15.0,4.28,Vanessa
84,16,98 - 103,5.0,11.0,372.0,0.0,0.0,9.0,4.628,Willi
